order_id,timestamp_start,timestamp_end,station_id,shift,process_time_mins,rework_time_mins,total_time_mins,labor_cost_per_hour,defect_flag,status,rework_cost,delay_cost,hour
ORD-1000,2026-04-01 06:00:00,2026-04-01 06:13:13.905131,Station_B,Day,13.23,0.0,13.23,47.79,0,Success,0.0,0.0,6
ORD-1001,2026-04-01 06:02:00,2026-04-01 06:11:39.299091,Station_A,Day,9.65,0.0,9.65,46.14,0,Success,0.0,0.0,6
ORD-1002,2026-04-01 06:04:00,2026-04-01 06:27:35.658649,Station_C,Day,23.59,0.0,23.59,43.46,0,Delayed,0.0,6.23,6
ORD-1003,2026-04-01 06:06:00,2026-04-01 06:32:19.504853,Station_C,Day,26.33,0.0,26.33,49.97,0,Delayed,0.0,9.43,6
ORD-1004,2026-04-01 06:08:00,2026-04-01 06:19:01.012096,Station_D,Day,11.02,0.0,11.02,39.04,0,Success,0.0,0.0,6
ORD-1005,2026-04-01 06:10:00,2026-04-01 06:21:24.292731,Station_B,Day,11.4,0.0,11.4,37.13,0,Success,0.0,0.0,6
ORD-1006,2026-04-01 06:12:00,2026-04-01 06:28:23.433990,Station_C,Day,16.39,0.0,16.39,28.39,0,Delayed,0.0,0.66,6
ORD-1007,2026-04-01 06:14:00,2026-04-01 06:23:01.595161,Station_B,Day,9.03,0.0,9.03,37.87,0,Success,0.0,0.0,6
ORD-1008,2026-04-01 06:16:00,2026-04-01 06:52:49.785726,Station_C,Day,26.31,10.52,36.83,29.8,1,Failed,5.23,0.0,6
ORD-1009,2026-04-01 06:18:00,2026-04-01 06:32:06.813172,Station_B,Day,10.08,4.03,14.11,39.5,1,Failed,2.65,0.0,6
ORD-1010,2026-04-01 06:20:00,2026-04-01 06:39:39.376322,Station_D,Day,19.66,0.0,19.66,45.96,0,Delayed,0.0,3.57,6
ORD-1011,2026-04-01 06:22:00,2026-04-01 06:48:05.147942,Station_A,Day,18.63,7.45,26.09,46.34,1,Failed,5.76,0.0,6
ORD-1012,2026-04-01 06:24:00,2026-04-01 06:37:33.157709,Station_C,Day,13.55,0.0,13.55,48.22,0,Success,0.0,0.0,6
ORD-1013,2026-04-01 06:26:00,2026-04-01 06:40:22.350558,Station_B,Day,14.37,0.0,14.37,25.06,0,Success,0.0,0.0,6
ORD-1014,2026-04-01 06:28:00,2026-04-01 06:39:54.685036,Station_B,Day,11.91,0.0,11.91,45.71,0,Success,0.0,0.0,6
ORD-1015,2026-04-01 06:30:00,2026-04-01 06:40:41.967753,Station_D,Day,10.7,0.0,10.7,41.48,0,Success,0.0,0.0,6
ORD-1016,2026-04-01 06:32:00,2026-04-01 06:39:27.902902,Station_C,Day,5.33,2.13,7.47,34.78,1,Failed,1.24,0.0,6
ORD-1017,2026-04-01 06:34:00,2026-04-01 07:08:44.823886,Station_C,Day,24.82,9.93,34.75,36.5,1,Failed,6.04,0.0,6
ORD-1018,2026-04-01 06:36:00,2026-04-01 06:50:35.824699,Station_A,Day,14.6,0.0,14.6,26.03,0,Success,0.0,0.0,6
ORD-1019,2026-04-01 06:38:00,2026-04-01 06:52:21.516365,Station_B,Day,14.36,0.0,14.36,27.43,0,Success,0.0,0.0,6
ORD-1020,2026-04-01 06:40:00,2026-04-01 06:54:56.714614,Station_D,Day,14.95,0.0,14.95,34.54,0,Success,0.0,0.0,6
ORD-1021,2026-04-01 06:42:00,2026-04-01 07:05:57.274091,Station_C,Day,23.95,0.0,23.95,45.76,0,Delayed,0.0,6.83,6
ORD-1022,2026-04-01 06:44:00,2026-04-01 06:53:30.266694,Station_A,Day,9.5,0.0,9.5,35.03,0,Success,0.0,0.0,6
ORD-1023,2026-04-01 06:46:00,2026-04-01 07:03:48.121258,Station_B,Day,12.72,5.09,17.8,30.18,1,Failed,2.56,0.0,6
ORD-1024,2026-04-01 06:48:00,2026-04-01 06:59:55.552978,Station_B,Day,11.93,0.0,11.93,26.37,0,Success,0.0,0.0,6
ORD-1025,2026-04-01 06:50:00,2026-04-01 06:58:57.963234,Station_B,Day,8.97,0.0,8.97,45.02,0,Success,0.0,0.0,6
ORD-1026,2026-04-01 06:52:00,2026-04-01 07:07:53.908427,Station_D,Day,15.9,0.0,15.9,34.89,0,Delayed,0.0,0.52,6
ORD-1027,2026-04-01 06:54:00,2026-04-01 07:06:38.378128,Station_B,Day,12.64,0.0,12.64,25.53,0,Success,0.0,0.0,6
ORD-1028,2026-04-01 06:56:00,2026-04-01 07:09:55.734585,Station_D,Day,13.93,0.0,13.93,35.25,0,Success,0.0,0.0,6
ORD-1029,2026-04-01 06:58:00,2026-04-01 07:17:39.380019,Station_C,Day,19.66,0.0,19.66,41.73,0,Delayed,0.0,3.24,6
ORD-1030,2026-04-01 07:00:00,2026-04-01 07:11:22.005267,Station_D,Day,11.37,0.0,11.37,43.05,0,Success,0.0,0.0,7
ORD-1031,2026-04-01 07:02:00,2026-04-01 07:17:51.030802,Station_C,Day,15.85,0.0,15.85,39.11,0,Delayed,0.0,0.55,7
ORD-1032,2026-04-01 07:04:00,2026-04-01 07:18:17.084455,Station_C,Day,14.28,0.0,14.28,27.29,0,Success,0.0,0.0,7
ORD-1033,2026-04-01 07:06:00,2026-04-01 07:28:07.627160,Station_C,Day,15.81,6.32,22.13,28.45,1,Failed,3.0,0.0,7
ORD-1034,2026-04-01 07:08:00,2026-04-01 07:18:36.360302,Station_B,Day,10.61,0.0,10.61,37.27,0,Success,0.0,0.0,7
ORD-1035,2026-04-01 07:10:00,2026-04-01 07:26:34.164376,Station_D,Day,16.57,0.0,16.57,42.83,0,Delayed,0.0,1.12,7
ORD-1036,2026-04-01 07:12:00,2026-04-01 07:26:34.237348,Station_D,Day,14.57,0.0,14.57,46.61,0,Success,0.0,0.0,7
ORD-1037,2026-04-01 07:14:00,2026-04-01 07:30:31.038612,Station_D,Day,16.52,0.0,16.52,30.43,0,Delayed,0.0,0.77,7
ORD-1038,2026-04-01 07:16:00,2026-04-01 07:26:37.228232,Station_B,Day,10.62,0.0,10.62,45.61,0,Success,0.0,0.0,7
ORD-1039,2026-04-01 07:18:00,2026-04-01 07:29:43.723805,Station_B,Day,11.73,0.0,11.73,30.96,0,Success,0.0,0.0,7
ORD-1040,2026-04-01 07:20:00,2026-04-01 08:03:52.031288,Station_C,Day,43.87,0.0,43.87,36.6,0,Delayed,0.0,17.61,7
ORD-1041,2026-04-01 07:22:00,2026-04-01 07:35:57.907868,Station_B,Day,13.97,0.0,13.97,26.22,0,Success,0.0,0.0,7
ORD-1042,2026-04-01 07:24:00,2026-04-01 07:46:09.480844,Station_D,Day,22.16,0.0,22.16,35.72,0,Delayed,0.0,4.26,7
ORD-1043,2026-04-01 07:26:00,2026-04-01 07:39:48.571271,Station_D,Day,9.86,3.95,13.81,44.73,1,Failed,2.94,0.0,7
ORD-1044,2026-04-01 07:28:00,2026-04-01 07:38:10.615231,Station_B,Day,10.18,0.0,10.18,36.4,0,Success,0.0,0.0,7
ORD-1045,2026-04-01 07:30:00,2026-04-01 07:59:34.863872,Station_D,Day,21.13,8.45,29.58,39.11,1,Failed,5.51,0.0,7
ORD-1046,2026-04-01 07:32:00,2026-04-01 07:55:48.624930,Station_D,Day,17.01,6.8,23.81,31.46,1,Failed,3.57,0.0,7
ORD-1047,2026-04-01 07:34:00,2026-04-01 07:48:34.890775,Station_B,Day,14.58,0.0,14.58,31.77,0,Success,0.0,0.0,7
ORD-1048,2026-04-01 07:36:00,2026-04-01 07:47:36.308844,Station_A,Day,11.61,0.0,11.61,28.03,0,Success,0.0,0.0,7
ORD-1049,2026-04-01 07:38:00,2026-04-01 07:52:28.275247,Station_B,Day,14.47,0.0,14.47,35.49,0,Success,0.0,0.0,7
ORD-1050,2026-04-01 07:40:00,2026-04-01 07:59:27.628572,Station_D,Day,19.46,0.0,19.46,43.83,0,Delayed,0.0,3.26,7
ORD-1051,2026-04-01 07:42:00,2026-04-01 07:57:40.141845,Station_A,Day,11.19,4.48,15.67,27.7,1,Failed,2.07,0.0,7
ORD-1052,2026-04-01 07:44:00,2026-04-01 08:04:30.115729,Station_C,Day,14.64,5.86,20.5,31.63,1,Failed,3.09,0.0,7
ORD-1053,2026-04-01 07:46:00,2026-04-01 07:58:29.838414,Station_D,Day,12.5,0.0,12.5,33.61,0,Success,0.0,0.0,7
ORD-1054,2026-04-01 07:48:00,2026-04-01 07:58:28.229527,Station_A,Day,10.47,0.0,10.47,41.67,0,Success,0.0,0.0,7
ORD-1055,2026-04-01 07:50:00,2026-04-01 08:02:20.574003,Station_B,Day,12.34,0.0,12.34,46.47,0,Success,0.0,0.0,7
ORD-1056,2026-04-01 07:52:00,2026-04-01 08:05:46.721502,Station_B,Day,13.78,0.0,13.78,37.32,0,Success,0.0,0.0,7
ORD-1057,2026-04-01 07:54:00,2026-04-01 08:18:25.661315,Station_C,Day,24.43,0.0,24.43,37.79,0,Delayed,0.0,5.94,7
ORD-1058,2026-04-01 07:56:00,2026-04-01 08:07:41.277424,Station_A,Day,11.69,0.0,11.69,29.92,0,Success,0.0,0.0,7
ORD-1059,2026-04-01 07:58:00,2026-04-01 08:16:42.816054,Station_D,Day,18.71,0.0,18.71,31.07,0,Delayed,0.0,1.92,7
ORD-1060,2026-04-01 08:00:00,2026-04-01 08:08:09.562556,Station_B,Day,8.16,0.0,8.16,47.64,0,Success,0.0,0.0,8
ORD-1061,2026-04-01 08:02:00,2026-04-01 08:25:52.972805,Station_C,Day,23.88,0.0,23.88,31.46,0,Delayed,0.0,4.66,8
ORD-1062,2026-04-01 08:04:00,2026-04-01 08:29:00.506283,Station_C,Day,25.01,0.0,25.01,40.06,0,Delayed,0.0,6.68,8
ORD-1063,2026-04-01 08:06:00,2026-04-01 08:14:10.026128,Station_A,Day,8.17,0.0,8.17,26.92,0,Success,0.0,0.0,8
ORD-1064,2026-04-01 08:08:00,2026-04-01 08:18:49.084219,Station_D,Day,10.82,0.0,10.82,28.81,0,Success,0.0,0.0,8
ORD-1065,2026-04-01 08:10:00,2026-04-01 08:20:40.880860,Station_C,Day,10.68,0.0,10.68,29.41,0,Success,0.0,0.0,8
ORD-1066,2026-04-01 08:12:00,2026-04-01 08:21:35.017616,Station_A,Day,9.58,0.0,9.58,32.99,0,Success,0.0,0.0,8
ORD-1067,2026-04-01 08:14:00,2026-04-01 08:28:16.794516,Station_D,Day,10.2,4.08,14.28,27.56,1,Failed,1.87,0.0,8
ORD-1068,2026-04-01 08:16:00,2026-04-01 08:28:02.516198,Station_B,Day,12.04,0.0,12.04,30.94,0,Success,0.0,0.0,8
ORD-1069,2026-04-01 08:18:00,2026-04-01 08:28:08.225022,Station_D,Day,10.14,0.0,10.14,26.53,0,Success,0.0,0.0,8
ORD-1070,2026-04-01 08:20:00,2026-04-01 08:36:36.530185,Station_A,Day,16.61,0.0,16.61,49.5,0,Delayed,0.0,1.33,8
ORD-1071,2026-04-01 08:22:00,2026-04-01 08:34:49.238529,Station_B,Day,12.82,0.0,12.82,34.79,0,Success,0.0,0.0,8
ORD-1072,2026-04-01 08:24:00,2026-04-01 08:42:44.723038,Station_A,Day,18.75,0.0,18.75,34.62,0,Delayed,0.0,2.16,8
